Income,Essentials,Lifestyle,Loan,TotalExpenses,Savings,Overspending
13976,6649,3285,4115,14049,-73,1
6289,2732,1500,43,4275,2014,0
9498,5603,1714,1983,9300,198,1
8484,4405,2556,1362,8323,161,1
9917,4148,3384,2270,9802,115,1
10235,5858,2412,1426,9696,539,1
11290,6616,2948,2334,11898,-608,1
6244,3454,761,438,4653,1591,0
9226,5437,3018,959,9414,-188,1
9604,3997,2946,1817,8760,844,1
7985,5351,2091,1447,8889,-904,1
13122,5752,5186,2212,13150,-28,1
8061,3918,2582,1518,8018,43,1
11464,5979,4449,96,10524,940,1
5870,2841,2097,745,5683,187,1
7078,3849,2384,1779,8012,-934,1
4892,2252,1267,1103,4622,270,1
13915,9011,5023,4033,18067,-4152,1
8300,3644,1312,245,5201,3099,0
5913,3182,2072,260,5514,399,1
9430,4332,1086,562,5980,3450,0
5241,3150,1973,1087,6210,-969,1
12129,8124,1974,1682,11780,349,1
14017,7907,3867,235,12009,2008,1
6133,2995,2205,1105,6305,-172,1
6367,3818,2233,1652,7703,-1336,1
12152,7869,1488,3348,12705,-553,1
13264,8743,1723,2579,13045,219,1
14986,9513,2218,1076,12807,2179,1
9751,6639,3726,996,11361,-1610,1
12475,5987,4896,3605,14488,-2013,1
4486,2714,908,877,4499,-13,1
14047,6933,1919,2248,11100,2947,0
10550,5792,1619,544,7955,2595,0
7150,4192,797,1433,6422,728,1
5789,4041,1329,1129,6499,-710,1
8978,4364,2602,849,7815,1163,1
8877,5310,2832,1655,9797,-920,1
14014,7923,3170,942,12035,1979,1
10014,6393,2418,1917,10728,-714,1
14803,10212,5755,1433,17400,-2597,1
4378,2975,933,141,4049,329,1
9498,4275,2693,410,7378,2120,0
5103,2055,667,313,3035,2068,0
11327,5153,2934,1448,9535,1792,1
5455,3810,2124,480,6414,-959,1
5266,3681,1209,1549,6439,-1173,1
5342,3185,770,835,4790,552,1
11931,5108,1714,1039,7861,4070,0
13209,8277,2431,1248,11956,1253,1
10397,4547,1390,887,6824,3573,0
7934,3586,2407,2117,8110,-176,1
13223,7175,1356,451,8982,4241,0
9331,6342,3494,2357,12193,-2862,1
6312,4108,1689,950,6747,-435,1
14929,8033,2073,4227,14333,596,1
8047,5576,1455,409,7440,607,1
7405,3944,2659,1629,8232,-827,1
14193,6159,2464,71,8694,5499,0
8216,4130,3116,55,7301,915,1
9790,4573,2345,83,7001,2789,0
6410,3241,2070,1556,6867,-457,1
9651,4178,3732,2695,10605,-954,1
11068,6270,3456,3302,13028,-1960,1
11548,5949,1243,1116,8308,3240,0
7581,3997,1158,2107,7262,319,1
6364,3661,2112,658,6431,-67,1
5791,3951,1027,1662,6640,-849,1
4210,1919,1026,463,3408,802,1
7181,3008,2759,1622,7389,-208,1
8559,4757,2426,1458,8641,-82,1
14523,9079,4288,1114,14481,42,1
11059,5838,3576,2077,11491,-432,1
4192,2059,1340,1075,4474,-282,1
6855,4248,831,1541,6620,235,1
14894,10035,2900,4001,16936,-2042,1
6035,2908,1215,1470,5593,442,1
4751,2549,1613,253,4415,336,1
13485,6250,2313,697,9260,4225,0
9519,5570,2706,674,8950,569,1
8558,5326,1469,1959,8754,-196,1
13381,5393,3272,2029,10694,2687,0
8623,3562,1646,2187,7395,1228,1
11589,4824,3587,1442,9853,1736,1
14544,7990,1878,1558,11426,3118,0
9111,5796,3527,1106,10429,-1318,1
6725,2867,1374,738,4979,1746,0
12734,7210,2548,2230,11988,746,1
6604,3077,1207,851,5135,1469,0
6894,2973,2256,147,5376,1518,0
10483,6373,1201,917,8491,1992,1
13057,6534,2816,3269,12619,438,1
10811,6686,1461,960,9107,1704,1
12887,7435,4094,1565,13094,-207,1
11222,5455,2347,2742,10544,678,1
7600,4838,1490,462,6790,810,1
7698,4073,1402,681,6156,1542,0
4821,3359,1282,1366,6007,-1186,1
4574,2979,1340,1081,5400,-826,1
14487,8981,1491,3289,13761,726,1
6392,3538,2459,1113,7110,-718,1
6754,4236,2126,712,7074,-320,1
5998,2592,672,75,3339,2659,0
7334,4743,2630,2057,9430,-2096,1
11799,7272,1785,258,9315,2484,0
4633,2193,768,1361,4322,311,1
7501,4496,2804,517,7817,-316,1
9114,6274,3570,1573,11417,-2303,1
12092,7486,3883,2914,14283,-2191,1
10964,7025,3885,966,11876,-912,1
14401,7397,2660,3910,13967,434,1
10981,5128,1590,1533,8251,2730,0
6674,3966,2038,74,6078,596,1
14135,8997,1624,2313,12934,1201,1
13207,8027,5252,1922,15201,-1994,1
5029,2052,1595,636,4283,746,1
4555,2334,746,281,3361,1194,0
8272,4356,3006,1068,8430,-158,1
11606,8014,4292,467,12773,-1167,1
9316,4947,2156,2494,9597,-281,1
8108,3347,1545,1822,6714,1394,1
14053,9345,4137,2493,15975,-1922,1
12478,6311,2104,3400,11815,663,1
7820,4633,2109,1837,8579,-759,1
6206,3831,1605,1498,6934,-728,1
10060,6912,2632,1507,11051,-991,1
4826,2978,756,44,3778,1048,0
11206,7113,2380,166,9659,1547,1
5584,3724,643,997,5364,220,1
11036,6620,3398,631,10649,387,1
6615,3097,1360,1419,5876,739,1
9713,4313,1867,2698,8878,835,1
12151,6267,1734,937,8938,3213,0
12670,8584,4704,2023,15311,-2641,1
6066,2687,1860,1300,5847,219,1
13341,5350,2360,2575,10285,3056,0
10407,4270,3879,2652,10801,-394,1
9455,4822,2151,2014,8987,468,1
5686,2486,784,139,3409,2277,0
13463,9417,2893,3965,16275,-2812,1
8193,4272,966,1148,6386,1807,0
8418,4335,2079,1997,8411,7,1
6686,2986,2277,431,5694,992,1
5880,2784,2031,549,5364,516,1
6285,3492,1861,214,5567,718,1
4991,2971,1878,127,4976,15,1
7408,3056,2626,537,6219,1189,1
4220,1973,1407,815,4195,25,1
10781,5258,2729,1189,9176,1605,1
7368,4793,1118,830,6741,627,1
14156,7881,4340,1177,13398,758,1
8779,3643,2312,1541,7496,1283,1
13248,7683,3277,670,11630,1618,1
5899,3314,1498,499,5311,588,1
10708,5563,3764,184,9511,1197,1
9723,6287,1062,2384,9733,-10,1
9599,4920,2051,1602,8573,1026,1
5968,3409,794,773,4976,992,1
4647,2243,1324,762,4329,318,1
9002,6058,3419,668,10145,-1143,1
5505,2666,917,846,4429,1076,1
8934,4873,3307,1622,9802,-868,1
5826,3551,1931,681,6163,-337,1
14774,10012,1588,1642,13242,1532,1
7008,4695,1106,863,6664,344,1
14575,7595,2933,3448,13976,599,1
8870,4532,2963,1659,9154,-284,1
14751,8358,2567,2322,13247,1504,1
13171,8199,2751,2460,13410,-239,1
9924,4991,3608,1756,10355,-431,1
5267,3481,1275,576,5332,-65,1
5777,2868,2084,1107,6059,-282,1
14441,6719,4826,519,12064,2377,1
6187,3386,1658,208,5252,935,1
4935,2390,1818,1332,5540,-605,1
7191,4059,1131,1055,6245,946,1
8470,3992,2261,434,6687,1783,0
6426,3160,2395,1032,6587,-161,1
6206,2873,887,680,4440,1766,0
8924,3632,1335,1026,5993,2931,0
11852,7744,1682,3370,12796,-944,1
9873,4782,3279,2078,10139,-266,1
4145,1975,769,580,3324,821,1
11662,6055,3069,2624,11748,-86,1
12528,6938,3942,2014,12894,-366,1
8561,3431,2591,2124,8146,415,1
13052,5913,3996,592,10501,2551,1
14548,8945,4983,3664,17592,-3044,1
10885,6948,1915,1502,10365,520,1
6141,4049,1156,1453,6658,-517,1
6520,3670,1608,97,5375,1145,1
9087,5226,2971,1352,9549,-462,1
4543,2832,1077,452,4361,182,1
12184,7913,2591,2937,13441,-1257,1
4148,2424,702,712,3838,310,1
6474,4285,718,412,5415,1059,1
12769,5357,5077,3141,13575,-806,1
6329,3106,1924,1023,6053,276,1
6192,2529,1466,1309,5304,888,1
14805,8713,3024,2447,14184,621,1
11864,5931,3805,549,10285,1579,1
14926,8383,4299,3925,16607,-1681,1
4224,2265,997,987,4249,-25,1
14675,5896,3881,4055,13832,843,1
4820,1959,662,894,3515,1305,0
11577,7577,1997,2500,12074,-497,1
14886,5988,4933,2637,13558,1328,1
9320,4106,2982,1999,9087,233,1
10567,6017,3006,1673,10696,-129,1
11382,7447,2048,1764,11259,123,1
14043,7133,4918,2464,14515,-472,1
9310,3877,3708,2519,10104,-794,1
5280,3283,726,408,4417,863,1
6958,3340,1203,1663,6206,752,1
8987,4394,2418,221,7033,1954,0
6500,2958,958,1758,5674,826,1
10327,5119,3865,439,9423,904,1
10651,6136,3834,3155,13125,-2474,1
4272,2931,1646,544,5121,-849,1
7841,4490,1948,1313,7751,90,1
9746,4527,1864,2075,8466,1280,1
7098,3363,2735,1046,7144,-46,1
9209,5574,2072,2287,9933,-724,1
14220,6219,2538,2212,10969,3251,0
13095,5521,3223,2578,11322,1773,1
8030,3902,1789,1315,7006,1024,1
6881,3742,1729,1518,6989,-108,1
10175,5871,1318,2936,10125,50,1
5218,2605,1658,1123,5386,-168,1
11694,5440,4117,1065,10622,1072,1
4116,2495,1270,689,4454,-338,1
8960,4763,2953,1052,8768,192,1
10910,5383,1368,348,7099,3811,0
6776,3569,1341,1872,6782,-6,1
12886,5604,1973,2312,9889,2997,0
8518,5770,3358,2415,11543,-3025,1
6016,2689,1583,1583,5855,161,1
8480,5888,3226,806,9920,-1440,1
6410,3154,1108,640,4902,1508,0
13330,6564,4160,889,11613,1717,1
8418,4020,2429,343,6792,1626,1
10009,6674,3860,346,10880,-871,1
12197,6789,3712,1651,12152,45,1
11987,4889,4509,1272,10670,1317,1
8953,4063,3558,2661,10282,-1329,1
12724,6967,1950,919,9836,2888,0
12112,7927,4498,3144,15569,-3457,1
4553,2639,1257,173,4069,484,1
13955,7538,1677,2536,11751,2204,1
8768,4703,1974,1994,8671,97,1
8512,5365,1730,266,7361,1151,1
4811,3118,1405,513,5036,-225,1
9845,6328,3267,2893,12488,-2643,1
8276,5347,2776,622,8745,-469,1
12780,5294,2799,400,8493,4287,0
8517,3853,1515,1777,7145,1372,1
8401,4500,3306,1624,9430,-1029,1
9889,6138,3252,1794,11184,-1295,1
14759,8497,2078,2784,13359,1400,1
12223,7437,4714,3457,15608,-3385,1
11835,6017,2801,183,9001,2834,0
10337,7222,2106,2903,12231,-1894,1
6076,4059,1975,925,6959,-883,1
6185,3397,2153,1466,7016,-831,1
8594,5680,2879,905,9464,-870,1
14592,8200,5481,4054,17735,-3143,1
13113,7075,3587,3141,13803,-690,1
14440,6441,3780,978,11199,3241,0
10481,4391,3379,1619,9389,1092,1
6337,3090,1048,712,4850,1487,0
11316,7896,4111,2733,14740,-3424,1
14295,7453,5160,1359,13972,323,1
6799,3165,780,1238,5183,1616,0
14695,7603,1493,2682,11778,2917,1
5339,3184,2017,433,5634,-295,1
13994,6017,2425,3936,12378,1616,1
4616,2291,665,211,3167,1449,0
8610,4730,2470,779,7979,631,1
12698,7649,2796,76,10521,2177,1
8783,5623,2844,1776,10243,-1460,1
10487,6460,3670,420,10550,-63,1
4891,2031,1233,1112,4376,515,1
5016,3490,704,112,4306,710,1
10454,7187,1916,1598,10701,-247,1
10177,6419,2528,224,9171,1006,1
7328,4640,2353,304,7297,31,1
9965,5947,2514,2432,10893,-928,1
9475,5993,3411,1266,10670,-1195,1
14455,6022,4361,2400,12783,1672,1
5657,2851,769,220,3840,1817,0
9797,6064,2659,2849,11572,-1775,1
9567,4193,1056,2129,7378,2189,0
7058,3641,1265,845,5751,1307,1
14075,6642,1835,2254,10731,3344,0
9708,5001,2913,2660,10574,-866,1
14094,6949,3696,2972,13617,477,1
7140,4640,1996,174,6810,330,1
11537,6224,4559,507,11290,247,1
14774,10087,4950,2358,17395,-2621,1
6892,4414,1821,967,7202,-310,1
9958,4571,2981,2358,9910,48,1
10754,7278,4251,2675,14204,-3450,1
8750,6069,2837,196,9102,-352,1
12886,6830,1620,3612,12062,824,1
11776,7292,1451,491,9234,2542,0
12591,6709,4485,852,12046,545,1
9164,4371,2289,734,7394,1770,1
12041,5217,2033,3609,10859,1182,1
8885,5796,1343,2271,9410,-525,1
14886,8012,3381,2249,13642,1244,1
14062,7814,3312,1081,12207,1855,1
5183,3382,1784,294,5460,-277,1
7436,3791,2290,958,7039,397,1
5293,2264,1935,595,4794,499,1
14686,7459,2683,2389,12531,2155,1
11473,7319,3122,336,10777,696,1
14316,8451,3319,876,12646,1670,1
10355,6224,3116,2246,11586,-1231,1
11446,5077,3440,1036,9553,1893,1
11513,6929,4511,384,11824,-311,1
10730,4734,2156,1547,8437,2293,0
6882,4271,2357,2035,8663,-1781,1
12426,5494,4669,1021,11184,1242,1
4974,2455,938,148,3541,1433,0
9472,4824,2737,854,8415,1057,1
11600,6950,3960,195,11105,495,1
8263,5330,1614,995,7939,324,1
9329,4373,1482,124,5979,3350,0
6955,3107,1437,852,5396,1559,0
4919,2467,1872,199,4538,381,1
4636,2265,1134,1086,4485,151,1
11561,4777,3712,2682,11171,390,1
10323,5659,2590,1218,9467,856,1
5414,2880,766,802,4448,966,1
7320,4393,2554,302,7249,71,1
12261,6087,2876,2576,11539,722,1
13526,5712,2938,1684,10334,3192,0
8799,5314,1308,1378,8000,799,1
11744,4925,2218,3444,10587,1157,1
9969,6019,3413,2078,11510,-1541,1
9194,3954,2515,1619,8088,1106,1
14950,8773,4815,445,14033,917,1
5458,2767,1082,44,3893,1565,0
10647,5572,2977,2487,11036,-389,1
9378,6245,3748,2020,12013,-2635,1
11481,5410,2212,3186,10808,673,1
10699,5896,2927,2798,11621,-922,1
6352,3968,789,1325,6082,270,1
5765,2882,2198,831,5911,-146,1
14545,9711,1693,3183,14587,-42,1
5053,3205,1584,869,5658,-605,1
6614,3830,1340,1860,7030,-416,1
6590,3920,2194,5,6119,471,1
11926,6841,2922,126,9889,2037,1
11548,4711,2811,2663,10185,1363,1
11258,5521,4479,1235,11235,23,1
7456,5010,1336,955,7301,155,1
12221,6953,1475,3437,11865,356,1
9661,6356,2699,1872,10927,-1266,1
12022,8288,1373,536,10197,1825,1
12853,8397,4913,3430,16740,-3887,1
9644,5250,1004,228,6482,3162,0
12237,5697,2033,1373,9103,3134,0
14572,8166,2576,276,11018,3554,0
10606,5180,3234,3145,11559,-953,1
9748,4203,1559,232,5994,3754,0
11953,6078,3105,3205,12388,-435,1
13444,8642,1415,3536,13593,-149,1
10714,4930,4259,2635,11824,-1110,1
5319,3644,550,564,4758,561,1
4959,3287,674,226,4187,772,1
9702,5578,1431,1549,8558,1144,1
13238,5394,2543,390,8327,4911,0
9128,6208,3437,151,9796,-668,1
13614,9040,1997,3120,14157,-543,1
10176,5575,2495,2205,10275,-99,1
8623,3979,3063,187,7229,1394,1
11188,7180,1836,3296,12312,-1124,1
12440,8062,4525,942,13529,-1089,1
14292,7945,4040,1941,13926,366,1
12941,7612,4852,3635,16099,-3158,1
6381,4026,797,1489,6312,69,1
14849,6671,4558,4199,15428,-579,1
6970,4404,1574,1740,7718,-748,1
7749,4272,2487,836,7595,154,1
6457,2858,930,1022,4810,1647,0
11934,6550,2414,3187,12151,-217,1
12855,8486,2485,3832,14803,-1948,1
9777,4156,3846,1194,9196,581,1
7275,3112,1957,852,5921,1354,1
10432,6271,1435,1366,9072,1360,1
6867,3720,2268,1338,7326,-459,1
14652,6200,4671,2670,13541,1111,1
4502,2557,1199,204,3960,542,1
11914,7861,1911,3295,13067,-1153,1
11750,4750,1770,2778,9298,2452,0
5307,3257,1623,616,5496,-189,1
8206,3985,1302,439,5726,2480,0
6421,4205,1689,70,5964,457,1
5090,3271,1327,1443,6041,-951,1
4462,3120,1407,642,5169,-707,1
5644,2367,1416,910,4693,951,1
4777,2839,647,765,4251,526,1
10321,4340,4075,2374,10789,-468,1
12214,6643,3473,1964,12080,134,1
8406,5826,1120,2019,8965,-559,1
7059,3887,2572,1346,7805,-746,1
6259,2690,763,1205,4658,1601,0
7248,3443,1604,1890,6937,311,1
5220,2585,1314,37,3936,1284,0
5579,3521,931,553,5005,574,1
6822,4413,753,541,5707,1115,1
14416,9611,5678,361,15650,-1234,1
7697,3597,1653,1790,7040,657,1
11289,5173,2060,1548,8781,2508,0
7137,4302,1698,386,6386,751,1
13167,7507,4870,1211,13588,-421,1
11204,6858,1389,109,8356,2848,0
13583,6004,2128,2935,11067,2516,1
12392,6453,4916,2637,14006,-1614,1
8715,4001,1960,9,5970,2745,0
4087,2681,627,248,3556,531,1
12575,5889,4484,3056,13429,-854,1
7287,3813,945,577,5335,1952,0
6823,3261,2508,1511,7280,-457,1
13399,7440,1831,1299,10570,2829,0
10503,5605,3451,1499,10555,-52,1
9753,4602,1647,774,7023,2730,0
12243,7535,3568,1608,12711,-468,1
14670,7479,4992,626,13097,1573,1
5965,2942,1528,1652,6122,-157,1
7144,4177,2351,957,7485,-341,1
12490,6699,3142,2487,12328,162,1
14376,8932,3960,481,13373,1003,1
5258,2240,704,31,2975,2283,0
6857,3109,1283,410,4802,2055,0
11949,5261,4148,410,9819,2130,1
7264,4326,2305,623,7254,10,1
10311,4336,3903,798,9037,1274,1
13153,8253,2583,2799,13635,-482,1
12500,7444,4834,280,12558,-58,1
14975,8469,2595,2513,13577,1398,1
5513,2630,1166,588,4384,1129,0
11727,5825,1430,2118,9373,2354,0
8649,4567,3110,960,8637,12,1
10958,5092,2381,2028,9501,1457,1
9258,4288,3152,1642,9082,176,1
13902,7015,5272,569,12856,1046,1
12830,8836,3809,1724,14369,-1539,1
11035,7012,2982,2575,12569,-1534,1
9182,4682,1276,1699,7657,1525,1
10882,5209,3343,1011,9563,1319,1
13969,8147,2661,550,11358,2611,1
8426,4478,2230,1826,8534,-108,1
7331,5107,2363,811,8281,-950,1
11294,7370,2065,168,9603,1691,1
